PanelText_UI_Chaper_Popup_StageAchieve_View_Text_C_OneKey_Content,bxyw,j界面文字表_PanelText_C.csv,211,PanelText,Content,,一键领取,Claim All
PanelText_UI_Task_Popup_Challenge_Text_C_OneKey_Content,bxyC,j界面文字表_PanelText_C.csv,547,PanelText,Content,,一键领取,Claim All
PanelText_UI_Task_Popup_Career_Text_C_OneKey_Content,bxyA,j界面文字表_PanelText_C.csv,553,PanelText,Content,,一键领取,Claim All
PanelText_UI_Chaper_Popup_Award_Optimized_Text_C_OneKey_Content,bxyu,j界面文字表_PanelText_C.csv,565,PanelText,Content,,一键领取,Claim All
PanelText_UI_Chaper_Popup_Award_Text_C_OneKey_Content,bxyv,j界面文字表_PanelText_C.csv,566,PanelText,Content,,一键领取,Claim All
PanelText_UI_Dungeous_Popup_Tips_New_Text_C_OneKey_Content,bxyz,j界面文字表_PanelText_C.csv,1374,PanelText,Content,,一键领取,Claim All
PanelText_UI_Task_Popup_Challenge2_Text_C_OneKey_Content,bxyB,j界面文字表_PanelText_C.csv,1478,PanelText,Content,,一键领取,Claim All
PanelText_UI_Pvp_Popup_Tips2_Text_C_OneKey_Content,bxYO,j界面文字表_PanelText_C.csv,1692,PanelText,Content,,一键领取,Claim All
PanelText_UI_Dungeons_Popup_Award_Optimized_Text_C_OneKey_Content,bxyx,j界面文字表_PanelText_C.csv,2083,PanelText,Content,,一键领取,Claim All
PanelText_UI_Dungeons_Popup_Award_Text_C_OneKey_Content,bxyy,j界面文字表_PanelText_C.csv,2084,PanelText,Content,,一键领取,Claim All
PanelText_UI_Events_Panel_Reward_Text_C_OneKey_Content,bxYN,j界面文字表_PanelText_C.csv,2433,PanelText,Content,,一键领取,Claim All
PanelText_UI_Events_Panel_ActivityPassport_Text_C_OneKey_Content,bwqI,j界面文字表_PanelText_C.csv,2592,PanelText,Content,,一键领取,Claim All
